Kab/Kota;Persentase Penduduk Miskin;Persentase Penduduk yang Memiliki Keluhan Kesehatan;Jumlah SMA;Jumlah SMK ;Persentase Rumah Tangga yang Memiliki Akses Sanitasi Layak;Persentase Rumah Tangga yang Memiliki Akses Sumber Air Minum Layak ;Jumlah KPM BANSOS Pangan;Jumlah Anggaran BANSOS Pangan;Tingkat Pengangguran Terbuka;Tingkat Partisipasi Angkatan Kerja
Bogor;8.13;32.94;192;358;63.91;91.83;1714830;188631300000;12.22;62.55
Sukabumi;7.70;28.97;83;163;64.35;81.34;161045;17714950000;9.51;64.93
Cianjur;11.18;40.24;95;186;58.52;86.25;1899590;208954900000;9.32;67.98
Bandung;7.15;28.69;109;139;64.51;99.07;166430;18307300000;8.32;65.12
Garut;10.65;37.41;127;140;43.73;77.35;169196;18611560000;8.68;62.76
Tasikmalaya;11.15;37.13;71;141;49.35;85.26;1255550;138110500000;6.16;68.18
Ciamis;7.97;39.20;31;142;66.59;90.12;72930;8022300000;5.06;69.83
Kuningan;13.10;42.23;27;143;80.98;94.40;820820;90290200000;11.68;63.82
Cirebon;12.30;45.40;49;144;83.41;96.54;164402;18084220000;10.38;64.49
Majalengka;12.33;34.53;22;145;80.59;96.80;102216;11243760000;5.71;67.63
Sumedang;10.71;26.82;29;146;87.87;94.16;814230;89565300000;9.18;68.51
Indramayu;13.04;39.78;52;147;89.75;97.95;159069;17497590000;8.30;69.86
Subang;10.03;29.17;49;148;85.82;98.75;106662;11732820000;9.77;67.78
Purwakarta;8.83;44.49;28;149;72.61;81.50;465820;51240200000;10.70;61.13
Karawang;8.95;27.25;49;150;77.19;96.63;140470;15451700000;11.83;64.19
Bekasi;5.21;25.07;122;151;81.02;95.02;848910;93380100000;10.09;65.87
Bandung Barat;11.30;30.99;60;152;63.78;92.47;77975;8577250000;11.65;60.75
Pangandaran;9.65;47.30;8;153;81.49;80.78;295750;32532500000;3.25;74.75
Kota Bogor;7.24;31.55;54;154;75.35;98.14;32713;3598430000;11.79;61.77
Kota Sukabumi;8.25;25.84;19;155;39.64;98.37;11215;1233650000;10.78;56.86
Kota Bandung;4.37;31.37;139;156;48.90;99.51;51123;5623530000;11.46;65.31
Kota Cirebon;10.03;42.56;27;157;92.71;99.34;16202;1782220000;10.53;62.87
Kota Bekasi;4.74;30.65;109;158;97.54;100.00;60582;6664020000;10.88;64.76
Kota Depok;2.58;31.04;68;159;97.06;99.52;31989;3518790000;9.76;62.62
Kota Cimahi;5.35;31.29;16;160;78.67;97.93;15817;1739870000;13.07;61.79
Kota Tasikmalaya;13.13;30.88;27;161;52.62;94.40;46520;5117200000;7.66;65.75
Kota Banjar;7.11;31.63;5;162;81.92;97.21;8127;893970000;6.09;64.07
